Biomass species,Moisture,Ash,Volatile_Matter,Fixed_Carbon,Carbon,Hydrogen,Oxygen,Nitrogen,Particle_Size,Temperature,Heating_Rate,Flow_Rate,Biochar_Yield,Bio_Oil_Yield,Gas_Yield
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,550,10.0,100.0,35.0,44.9,20.1
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,650,10.0,100.0,31.75,41.25,27.0
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,750,10.0,100.0,30.2,40.6,29.2
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,850,10.0,100.0,28.6,36.36,35.04
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,550,10.0,100.0,32.85,54.38,12.77
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,650,10.0,100.0,30.14,55.56,14.3
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,750,10.0,100.0,28.4,54.75,16.85
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,850,10.0,100.0,26.28,53.22,20.5
Corn straw,5.7,7.27,75.56,17.17,39.57,5.25,53.2,1.81,0.55,450,20.0,100.0,52.57,28.48,18.95
Corn straw,5.7,7.27,75.56,17.17,39.57,5.25,53.2,1.81,0.55,650,20.0,100.0,39.26,35.38,25.34
Corn straw,5.7,7.27,75.56,17.17,39.57,5.25,53.2,1.81,0.55,850,20.0,100.0,28.82,33.56,37.61
Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,400,10.0,100.0,26.53,33.33,39.73
Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,500,10.0,100.0,24.84,31.64,42.9
Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,600,10.0,100.0,24.1,31.02,44.1
Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,700,10.0,100.0,23.33,29.3,45.8
wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,400,10.0,100.0,56.69,25.04,14.8
wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,500,10.0,100.0,47.28,30.66,21.16
wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,600,10.0,100.0,46.56,30.19,21.89
Cigarette rod,5.7,22.49,71.15,6.36,35.44,4.62,33.78,2.7,0.65,300,20.0,300.0,57.7,20.8,21.7
Cigarette rod,5.7,22.49,71.15,6.36,35.44,4.62,33.78,2.7,0.65,400,20.0,300.0,47.2,22.2,29.7
Cigarette rod,5.7,22.49,71.15,6.36,35.44,4.62,33.78,2.7,0.65,500,20.0,300.0,42.2,21.1,35.7
Cigarette rod,5.7,22.49,71.15,6.36,35.44,4.62,33.78,2.7,0.65,600,20.0,300.0,39.8,19.2,41.1
Cigarette rod,5.7,22.49,71.15,6.36,35.44,4.62,33.78,2.7,0.65,700,20.0,300.0,32.6,20.1,46.2
Wheat straw,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.4,400,20.0,3000.0,57.13,25.07,17.69
Wheat straw,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.4,500,20.0,3000.0,47.7,30.88,20.85
Wheat straw,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.4,600,20.0,3000.0,47.0,30.7,22.06
Corn straw,7.27,3.34,74.59,14.8,47.76637640449439,6.1899999999999995,43.397598314606746,1.53,0.65,500,2.5,20.0,31.99,43.71,24.3
Corn straw,7.27,3.34,74.59,14.8,47.76637640449439,6.1899999999999995,43.397598314606746,1.53,0.65,500,5.0,20.0,29.8,47.2,23.0
Corn straw,7.27,3.34,74.59,14.8,47.76637640449439,6.1899999999999995,43.397598314606746,1.53,0.65,500,10.0,20.0,28.94,49.94,21.12
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.55,700,5.0,100.0,31.06,39.21,29.48
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.55,700,10.0,100.0,25.46,36.16,38.1
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.55,700,20.0,100.0,23.12,34.35,40.84
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.55,700,30.0,100.0,21.48,33.76,42.1
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.55,300,10.0,500.0,49.3,26.5,23.2
