iter	RMSE
0	12.08299657
1	11.82980662
2	11.52469909
3	11.28287653
4	11.00528684
5	10.79346852
6	10.59538359
7	10.38388093
8	10.17275705
9	9.97289398
10	9.758558526
11	9.592543538
12	9.413889925
13	9.230216815
14	9.048928941
15	8.877715725
16	8.72410167
17	8.576025406
18	8.456366299
19	8.29830615
20	8.153824722
21	8.016741941
22	7.912681496
23	7.802570612
24	7.687596246
25	7.567709792
26	7.463656187
27	7.36516504
28	7.253513715
29	7.176131129
30	7.087333115
31	6.988978478
32	6.898166364
33	6.801462786
34	6.725677611
35	6.635667578
36	6.559627982
37	6.462070618
38	6.387366835
39	6.302838034
40	6.233687167
41	6.17902368
42	6.111413285
43	6.053883719
44	5.987911782
45	5.932388344
46	5.866712406
47	5.800844038
48	5.743293558
49	5.682239603
50	5.624076287
51	5.570502698
52	5.524500409
53	5.473821454
54	5.405621469
55	5.363061506
56	5.317312331
57	5.278979632
58	5.226182842
59	5.178817517
60	5.126826663
61	5.073848033
62	5.033201904
63	4.993866384
64	4.955623139
65	4.907588365
66	4.870203855
67	4.823249228
68	4.771415816
69	4.720918309
70	4.676990977
71	4.637314817
72	4.597610689
73	4.568867489
74	4.537303915
75	4.498833562
76	4.47223267
77	4.451197434
78	4.419030469
79	4.385202822
80	4.354670803
81	4.303177951
82	4.271028944
83	4.231839898
84	4.214914122
85	4.191653822
86	4.167133035
87	4.148128179
88	4.121705493
89	4.097705629
90	4.073116089
91	4.050141314
92	4.028560289
93	3.999762511
94	3.978699702
95	3.959686371
96	3.938892842
97	3.912323773
98	3.887121052
99	3.866556129
100	3.845881199
101	3.818830584
102	3.796642572
103	3.783617421
104	3.76218038
105	3.732940639
106	3.704522569
107	3.684637306
108	3.660933195
109	3.648062115
110	3.625732166
111	3.612374698
112	3.594674216
113	3.581721171
114	3.567227392
115	3.552522441
116	3.534785157
117	3.506351997
118	3.492405142
119	3.472945562
120	3.451481852
121	3.430694413
122	3.412403113
123	3.379039634
124	3.363958905
125	3.343921271
126	3.316244083
127	3.304109856
128	3.275618333
129	3.254393878
130	3.24093355
131	3.216318359
132	3.197756939
133	3.185592237
134	3.168599749
135	3.155274404
136	3.142935218
137	3.134669904
138	3.122525877
139	3.106828356
140	3.092381517
141	3.077143987
142	3.065470526
143	3.049738274
144	3.038743646
145	3.02216847
146	3.013144484
147	3.000899132
148	2.991639267
149	2.982266099
150	2.964955251
151	2.95572244
152	2.94665057
153	2.924680801
154	2.916631072
155	2.89739014
156	2.889855279
157	2.874550424
158	2.867646975
159	2.8569906
160	2.849193783
161	2.843286257
162	2.823511679
163	2.809296538
164	2.799052612
165	2.792762721
166	2.774650566
167	2.769370204
168	2.76394456
169	2.755210306
170	2.750423969
171	2.746000596
172	2.736589029
173	2.72538065
174	2.71465779
175	2.706397206
176	2.689265866
177	2.677529731
178	2.665627278
179	2.649848228
180	2.63351038
181	2.625329287
182	2.614896441
183	2.607804325
184	2.595901033
185	2.580083632
186	2.566844962
187	2.556851834
188	2.547319407
189	2.543135369
190	2.534990602
191	2.524808319
192	2.518321398
193	2.505053683
194	2.489946212
195	2.475714022
196	2.471933037
197	2.457935114
198	2.4530557
199	2.445233267
200	2.43072214
201	2.425463783
202	2.41761779
203	2.409957356
204	2.401692523
205	2.394749497
206	2.382795003
207	2.375068895
208	2.361570806
209	2.34929071
210	2.346049638
211	2.339003429
212	2.333835451
213	2.32191219
214	2.311856789
215	2.300869824
216	2.295970105
217	2.29109485
218	2.288104782
219	2.279755418
220	2.272850057
221	2.271442763
222	2.26176061
223	2.259401051
224	2.255811814
225	2.253569721
226	2.251354632
227	2.249030994
228	2.242518437
229	2.240429234
230	2.23487236
231	2.22409157
232	2.21258722
233	2.208760502
234	2.198112413
235	2.194291216
236	2.185218777
237	2.179908765
238	2.174507984
239	2.167728802
240	2.156856483
241	2.146046238
242	2.140878234
243	2.139197473
244	2.12789252
245	2.126315819
246	2.122710427
247	2.120334911
248	2.116436532
249	2.112684606
250	2.101839149
251	2.099619
252	2.098038164
253	2.095183015
254	2.0855859
255	2.077506035
256	2.071848979
257	2.067936364
258	2.066516006
259	2.05749591
260	2.056061211
261	2.05471753
262	2.047339859
263	2.039358399
264	2.030397528
265	2.023632906
266	2.013589945
267	2.012255499
268	2.004238677
269	1.99780211
270	1.990019392
271	1.984492681
272	1.978355559
273	1.977073173
274	1.969256534
275	1.963344829
276	1.957436811
277	1.956134016
278	1.95275049
279	1.945753551
280	1.94241058
281	1.937883782
282	1.936849967
283	1.935584045
284	1.929453306
285	1.920833232
286	1.917543957
287	1.908724401
288	1.907100601
289	1.905874466
290	1.903433916
291	1.901629209
292	1.897019716
293	1.896073356
294	1.890371167
295	1.888470086
296	1.887407296
297	1.879059014
298	1.873647566
299	1.864822844
