iter	Passed	Remaining
0	164	49176
1	171	25577
2	181	17936
3	186	13775
4	191	11301
5	196	9620
6	198	8305
7	200	7327
8	203	6577
9	205	5965
10	210	5518
11	212	5091
12	214	4738
13	217	4443
14	220	4180
15	223	3961
16	225	3761
17	228	3578
18	231	3417
19	233	3270
20	236	3135
21	238	3017
22	241	2913
23	244	2807
24	246	2707
25	248	2617
26	250	2534
27	253	2460
28	257	2404
29	259	2334
30	262	2274
31	264	2212
32	266	2155
33	268	2102
34	272	2064
35	275	2022
36	278	1979
37	281	1942
38	283	1900
39	288	1873
40	290	1837
41	293	1801
42	296	1771
43	299	1740
44	304	1722
45	307	1698
46	311	1675
47	314	1649
48	319	1636
49	324	1622
50	328	1603
51	333	1588
52	340	1584
53	343	1566
54	347	1548
55	353	1542
56	358	1527
57	361	1509
58	369	1511
59	418	1673
60	423	1658
61	428	1646
62	436	1642
63	441	1628
64	450	1628
65	456	1618
66	460	1603
67	468	1597
68	473	1584
69	481	1581
70	485	1566
71	489	1551
72	495	1540
73	500	1529
74	504	1514
75	509	1503
76	515	1493
77	519	1478
78	530	1484
79	536	1474
80	540	1460
81	546	1453
82	551	1442
83	556	1430
84	563	1424
85	568	1414
86	576	1411
87	580	1398
88	585	1387
89	591	1380
90	596	1369
91	600	1357
92	605	1348
93	611	1340
94	617	1332
95	625	1329
96	630	1320
97	635	1308
98	640	1300
99	645	1290
100	649	1279
101	656	1274
102	664	1270
103	671	1265
104	677	1257
105	683	1251
106	689	1244
107	694	1234
108	699	1225
109	704	1217
110	709	1208
111	714	1198
112	721	1193
113	725	1183
114	730	1175
115	736	1168
116	740	1158
117	744	1148
118	751	1143
119	755	1133
120	760	1124
121	768	1120
122	773	1112
123	783	1111
124	787	1102
125	792	1093
126	805	1097
127	812	1091
128	816	1082
129	820	1073
130	829	1070
131	834	1062
132	840	1055
133	848	1050
134	853	1042
135	857	1034
136	863	1027
137	869	1020
138	877	1015
139	881	1007
140	886	999
141	892	993
142	896	984
143	901	976
144	907	969
145	911	961
146	915	953
147	920	945
148	926	938
149	934	934
150	940	928
151	944	919
152	948	911
153	952	902
154	957	896
155	961	887
156	964	878
157	969	871
158	974	864
159	978	856
160	982	848
161	987	841
162	990	832
163	994	824
164	996	815
165	1001	808
166	1004	799
167	1007	791
168	1009	782
169	1012	774
170	1016	766
171	1019	758
172	1022	750
173	1024	742
174	1027	733
175	1029	725
176	1034	719
177	1036	710
178	1039	702
179	1041	694
180	1044	686
181	1048	679
182	1050	671
183	1052	663
184	1055	655
185	1057	648
186	1059	640
187	1062	632
188	1066	626
189	1069	619
190	1074	613
191	1076	605
192	1080	598
193	1082	591
194	1084	583
195	1086	576
196	1088	569
197	1090	561
198	1092	554
199	1096	548
200	1098	540
201	1100	533
202	1102	526
203	1104	519
204	1105	512
205	1108	505
206	1111	499
207	1114	492
208	1115	485
209	1117	479
210	1119	472
211	1122	465
212	1124	459
213	1127	453
214	1129	446
215	1131	440
216	1133	433
217	1136	427
218	1138	420
219	1140	414
220	1143	408
221	1145	402
222	1147	396
223	1149	390
224	1151	383
225	1160	379
226	1162	373
227	1164	367
228	1167	362
229	1170	356
230	1172	350
231	1176	344
232	1178	338
233	1182	333
234	1184	327
235	1186	321
236	1188	315
237	1191	310
238	1193	304
239	1195	298
240	1201	294
241	1206	289
242	1209	283
243	1212	278
244	1214	272
245	1216	266
246	1218	261
247	1221	256
248	1223	250
249	1225	245
250	1227	239
251	1229	234
252	1231	228
253	1233	223
254	1237	218
255	1239	212
256	1241	207
257	1243	202
258	1245	197
259	1247	191
260	1249	186
261	1252	181
262	1254	176
263	1257	171
264	1259	166
265	1262	161
266	1264	156
267	1268	151
268	1272	146
269	1276	141
270	1278	136
271	1280	131
272	1284	127
273	1287	122
274	1290	117
275	1292	112
276	1295	107
277	1297	102
278	1301	97
279	1303	93
280	1305	88
281	1308	83
282	1310	78
283	1312	73
284	1317	69
285	1319	64
286	1321	59
287	1324	55
288	1326	50
289	1328	45
290	1334	41
291	1338	36
292	1341	32
293	1344	27
294	1347	22
295	1349	18
296	1351	13
297	1353	9
298	1356	4
299	1360	0
